# landmark_tcn training start  epochs=80 batch=64
[landmark_tcn] epoch 078/80  train_loss=1.0652 train_acc=0.646  val_loss=2.6925 val_acc=0.467
[landmark_tcn] epoch 079/80  train_loss=1.0928 train_acc=0.643  val_loss=2.6930 val_acc=0.467
[landmark_tcn] epoch 080/80  train_loss=1.0707 train_acc=0.662  val_loss=2.6930 val_acc=0.467
[landmark_tcn] TEST acc=0.390 loss=2.6300 n=105 best_val=0.486
# landmark_tcn training start  epochs=200 batch=64
[landmark_tcn] epoch 001/200  train_loss=3.8995 train_acc=0.000  val_loss=3.7489 val_acc=0.028
[landmark_tcn] epoch 002/200  train_loss=3.7324 train_acc=0.035  val_loss=3.7538 val_acc=0.028
[landmark_tcn] epoch 003/200  train_loss=3.7203 train_acc=0.019  val_loss=3.7596 val_acc=0.037
[landmark_tcn] epoch 004/200  train_loss=3.6991 train_acc=0.021  val_loss=3.7549 val_acc=0.028
[landmark_tcn] epoch 005/200  train_loss=3.6844 train_acc=0.014  val_loss=3.7391 val_acc=0.028
[landmark_tcn] epoch 006/200  train_loss=3.6831 train_acc=0.019  val_loss=3.6977 val_acc=0.028
[landmark_tcn] epoch 007/200  train_loss=3.6783 train_acc=0.021  val_loss=3.6812 val_acc=0.037
[landmark_tcn] epoch 008/200  train_loss=3.6760 train_acc=0.023  val_loss=3.7173 val_acc=0.028
[landmark_tcn] epoch 009/200  train_loss=3.6657 train_acc=0.026  val_loss=3.6998 val_acc=0.028
[landmark_tcn] epoch 010/200  train_loss=3.6577 train_acc=0.028  val_loss=3.6683 val_acc=0.019
[landmark_tcn] epoch 011/200  train_loss=3.6452 train_acc=0.040  val_loss=3.6968 val_acc=0.056
[landmark_tcn] epoch 012/200  train_loss=3.6222 train_acc=0.049  val_loss=3.6352 val_acc=0.028
[landmark_tcn] epoch 013/200  train_loss=3.5782 train_acc=0.051  val_loss=3.5425 val_acc=0.047
[landmark_tcn] epoch 014/200  train_loss=3.4911 train_acc=0.037  val_loss=3.5294 val_acc=0.047
[landmark_tcn] epoch 015/200  train_loss=3.3894 train_acc=0.086  val_loss=3.3310 val_acc=0.103
[landmark_tcn] epoch 016/200  train_loss=3.2752 train_acc=0.086  val_loss=3.4421 val_acc=0.112
[landmark_tcn] epoch 017/200  train_loss=3.2488 train_acc=0.142  val_loss=3.3299 val_acc=0.037
[landmark_tcn] epoch 018/200  train_loss=3.1628 train_acc=0.105  val_loss=3.1755 val_acc=0.131
[landmark_tcn] epoch 019/200  train_loss=3.0250 train_acc=0.145  val_loss=3.1709 val_acc=0.121
[landmark_tcn] epoch 020/200  train_loss=2.9959 train_acc=0.149  val_loss=3.1253 val_acc=0.140
[landmark_tcn] epoch 021/200  train_loss=2.8865 train_acc=0.166  val_loss=3.0978 val_acc=0.150
[landmark_tcn] epoch 022/200  train_loss=2.7853 train_acc=0.163  val_loss=3.0930 val_acc=0.178
[landmark_tcn] epoch 023/200  train_loss=2.7848 train_acc=0.210  val_loss=3.0364 val_acc=0.215
[landmark_tcn] epoch 024/200  train_loss=2.6389 train_acc=0.212  val_loss=2.9396 val_acc=0.206
[landmark_tcn] epoch 025/200  train_loss=2.5390 train_acc=0.233  val_loss=3.0706 val_acc=0.150
[landmark_tcn] epoch 026/200  train_loss=2.4529 train_acc=0.268  val_loss=2.9569 val_acc=0.215
[landmark_tcn] epoch 027/200  train_loss=2.3751 train_acc=0.254  val_loss=3.0305 val_acc=0.215
[landmark_tcn] epoch 028/200  train_loss=2.2849 train_acc=0.256  val_loss=2.9714 val_acc=0.168
[landmark_tcn] epoch 029/200  train_loss=2.2051 train_acc=0.282  val_loss=2.8785 val_acc=0.271
[landmark_tcn] epoch 030/200  train_loss=2.1260 train_acc=0.305  val_loss=3.1137 val_acc=0.243
[landmark_tcn] epoch 031/200  train_loss=2.0449 train_acc=0.338  val_loss=2.9414 val_acc=0.224
[landmark_tcn] epoch 032/200  train_loss=2.0059 train_acc=0.322  val_loss=2.9910 val_acc=0.196
[landmark_tcn] epoch 033/200  train_loss=1.9635 train_acc=0.336  val_loss=2.9493 val_acc=0.271
[landmark_tcn] epoch 034/200  train_loss=1.8782 train_acc=0.392  val_loss=3.0664 val_acc=0.299
[landmark_tcn] epoch 035/200  train_loss=1.8584 train_acc=0.354  val_loss=3.0126 val_acc=0.262
[landmark_tcn] epoch 036/200  train_loss=1.7825 train_acc=0.399  val_loss=3.0092 val_acc=0.299
[landmark_tcn] epoch 037/200  train_loss=1.6958 train_acc=0.422  val_loss=2.9948 val_acc=0.355
[landmark_tcn] epoch 038/200  train_loss=1.6821 train_acc=0.410  val_loss=2.8757 val_acc=0.364
[landmark_tcn] epoch 039/200  train_loss=1.6080 train_acc=0.403  val_loss=3.0434 val_acc=0.374
[landmark_tcn] epoch 040/200  train_loss=1.5591 train_acc=0.436  val_loss=3.0643 val_acc=0.308
[landmark_tcn] epoch 041/200  train_loss=1.5685 train_acc=0.434  val_loss=2.9013 val_acc=0.355
[landmark_tcn] epoch 042/200  train_loss=1.4873 train_acc=0.462  val_loss=3.0807 val_acc=0.383
[landmark_tcn] epoch 043/200  train_loss=1.4528 train_acc=0.480  val_loss=2.9422 val_acc=0.336
[landmark_tcn] epoch 044/200  train_loss=1.4045 train_acc=0.515  val_loss=2.8919 val_acc=0.402
[landmark_tcn] epoch 045/200  train_loss=1.3620 train_acc=0.499  val_loss=2.8061 val_acc=0.364
[landmark_tcn] epoch 046/200  train_loss=1.3052 train_acc=0.534  val_loss=2.9825 val_acc=0.421
[landmark_tcn] epoch 047/200  train_loss=1.3126 train_acc=0.517  val_loss=3.0434 val_acc=0.383
[landmark_tcn] epoch 048/200  train_loss=1.2825 train_acc=0.550  val_loss=3.1652 val_acc=0.421
[landmark_tcn] epoch 049/200  train_loss=1.2708 train_acc=0.524  val_loss=3.2168 val_acc=0.402
[landmark_tcn] epoch 050/200  train_loss=1.1891 train_acc=0.580  val_loss=2.9847 val_acc=0.411
[landmark_tcn] epoch 051/200  train_loss=1.1634 train_acc=0.585  val_loss=3.0666 val_acc=0.411
[landmark_tcn] epoch 052/200  train_loss=1.1383 train_acc=0.573  val_loss=3.0096 val_acc=0.411
[landmark_tcn] epoch 053/200  train_loss=1.1075 train_acc=0.590  val_loss=3.0086 val_acc=0.449
[landmark_tcn] epoch 054/200  train_loss=1.0864 train_acc=0.585  val_loss=3.0414 val_acc=0.383
[landmark_tcn] epoch 055/200  train_loss=1.0185 train_acc=0.632  val_loss=2.9106 val_acc=0.430
[landmark_tcn] epoch 056/200  train_loss=1.0249 train_acc=0.627  val_loss=3.0708 val_acc=0.449
[landmark_tcn] epoch 057/200  train_loss=0.9838 train_acc=0.632  val_loss=3.0580 val_acc=0.430
[landmark_tcn] epoch 058/200  train_loss=0.9896 train_acc=0.641  val_loss=3.1602 val_acc=0.421
[landmark_tcn] epoch 059/200  train_loss=0.9043 train_acc=0.681  val_loss=3.0188 val_acc=0.486
[landmark_tcn] epoch 060/200  train_loss=0.9079 train_acc=0.683  val_loss=3.0092 val_acc=0.430
[landmark_tcn] epoch 061/200  train_loss=0.8833 train_acc=0.720  val_loss=2.9635 val_acc=0.439
[landmark_tcn] epoch 062/200  train_loss=0.8164 train_acc=0.716  val_loss=2.9334 val_acc=0.421
[landmark_tcn] epoch 063/200  train_loss=0.8420 train_acc=0.704  val_loss=3.0315 val_acc=0.467
[landmark_tcn] epoch 064/200  train_loss=0.8356 train_acc=0.674  val_loss=3.1203 val_acc=0.449
[landmark_tcn] epoch 065/200  train_loss=0.8180 train_acc=0.723  val_loss=2.9339 val_acc=0.449
[landmark_tcn] epoch 066/200  train_loss=0.7752 train_acc=0.734  val_loss=3.1804 val_acc=0.421
[landmark_tcn] epoch 067/200  train_loss=0.8796 train_acc=0.678  val_loss=3.0795 val_acc=0.458
[landmark_tcn] epoch 068/200  train_loss=0.7391 train_acc=0.723  val_loss=3.2260 val_acc=0.495
[landmark_tcn] epoch 069/200  train_loss=0.6994 train_acc=0.755  val_loss=3.0470 val_acc=0.430
[landmark_tcn] epoch 070/200  train_loss=0.6793 train_acc=0.788  val_loss=3.0989 val_acc=0.449
[landmark_tcn] epoch 071/200  train_loss=0.6440 train_acc=0.783  val_loss=3.1409 val_acc=0.467
[landmark_tcn] epoch 072/200  train_loss=0.6776 train_acc=0.793  val_loss=2.9567 val_acc=0.458
[landmark_tcn] epoch 073/200  train_loss=0.6805 train_acc=0.774  val_loss=3.1237 val_acc=0.486
[landmark_tcn] epoch 074/200  train_loss=0.6183 train_acc=0.779  val_loss=3.1810 val_acc=0.467
