# mediapipe_transformer training start  epochs=200 batch=32
[mediapipe_transformer] epoch 181/200  train_loss=0.1599 train_acc=0.956  val_loss=4.3615 val_acc=0.533
[mediapipe_transformer] epoch 182/200  train_loss=0.1678 train_acc=0.958  val_loss=4.3791 val_acc=0.533
[mediapipe_transformer] epoch 183/200  train_loss=0.1604 train_acc=0.946  val_loss=4.4038 val_acc=0.533
[mediapipe_transformer] epoch 184/200  train_loss=0.1663 train_acc=0.949  val_loss=4.4275 val_acc=0.523
[mediapipe_transformer] epoch 185/200  train_loss=0.1566 train_acc=0.956  val_loss=4.4379 val_acc=0.523
[mediapipe_transformer] epoch 186/200  train_loss=0.1680 train_acc=0.963  val_loss=4.4230 val_acc=0.533
[mediapipe_transformer] epoch 187/200  train_loss=0.1769 train_acc=0.942  val_loss=4.4287 val_acc=0.523
[mediapipe_transformer] epoch 188/200  train_loss=0.1679 train_acc=0.956  val_loss=4.4229 val_acc=0.523
[mediapipe_transformer] epoch 189/200  train_loss=0.1814 train_acc=0.930  val_loss=4.4278 val_acc=0.523
[mediapipe_transformer] epoch 190/200  train_loss=0.1631 train_acc=0.956  val_loss=4.4314 val_acc=0.523
[mediapipe_transformer] epoch 191/200  train_loss=0.1519 train_acc=0.960  val_loss=4.4456 val_acc=0.523
[mediapipe_transformer] epoch 192/200  train_loss=0.1686 train_acc=0.956  val_loss=4.4451 val_acc=0.523
[mediapipe_transformer] epoch 193/200  train_loss=0.1594 train_acc=0.942  val_loss=4.4430 val_acc=0.523
[mediapipe_transformer] epoch 194/200  train_loss=0.1533 train_acc=0.951  val_loss=4.4422 val_acc=0.523
[mediapipe_transformer] epoch 195/200  train_loss=0.1535 train_acc=0.960  val_loss=4.4381 val_acc=0.523
[mediapipe_transformer] epoch 196/200  train_loss=0.1498 train_acc=0.958  val_loss=4.4361 val_acc=0.523
[mediapipe_transformer] epoch 197/200  train_loss=0.1689 train_acc=0.951  val_loss=4.4377 val_acc=0.523
[mediapipe_transformer] epoch 198/200  train_loss=0.1608 train_acc=0.953  val_loss=4.4376 val_acc=0.523
[mediapipe_transformer] epoch 199/200  train_loss=0.1587 train_acc=0.951  val_loss=4.4376 val_acc=0.523
[mediapipe_transformer] epoch 200/200  train_loss=0.1751 train_acc=0.951  val_loss=4.4375 val_acc=0.523
[mediapipe_transformer] TEST acc=0.486 loss=3.3165 n=105 best_val=0.579
